seq,ts,temp,hum,dist,bat
9,27269,0,0,7.310345,85
10,29275,0,0,7.293103,85
11,31282,0,0,7.293103,85
12,33289,0,0,7.293103,85
13,35296,0,0,7.310345,85
15,39310,0,0,7.293103,85
16,41317,0,0,7.293103,85
17,43324,0,0,7.310345,85
18,45330,0,0,7.293103,85
19,47337,0,0,7.293103,85
20,49344,0,0,7.293103,85
21,51351,0,0,7.293103,85
22,53358,0,0,7.293103,85
24,57372,0,0,7.275862,85
25,59379,0,0,7.293103,85
26,61386,0,0,7.293103,85
27,63392,0,0,7.293103,85
28,65399,0,0,7.293103,85
29,67406,0,0,7.293103,85
30,69413,0,0,7.293103,85
31,71420,0,0,7.293103,85
33,75434,0,0,7.293103,85
34,77441,0,0,7.293103,85
35,79447,0,0,7.293103,85
36,81454,0,0,7.482759,85
37,83460,0,0,0,85
38,85466,0,0,0,85
39,87472,0,0,0,85
40,89478,0,0,314.6724,85
41,91485,0,0,312.4483,85
42,93491,0,0,310.7758,85
42,93491,0,0,310.7758,85
43,95497,0,0,310.3276,85
43,95497,0,0,310.3276,85
44,97504,0,0,0,85
45,99511,0,0,0,85
46,101518,0,0,0,85
47,103524,0,0,0,85
48,105530,0,0,0,85
49,107537,0,0,0,85
50,109545,0,0,0,85
51,111555,0,0,0,85
